mark,B (ft),L (ft),thickness (ft),Df (ft),q_applied (ksf),q_allow (ksf),bearing_util,settlement (in),settlement_util,governs,status,notes
F-1,3.75,3.75,0.98,2.00,4.537,4.879,0.930,0.944,0.944,Settlement,OK,The bearing failure zone spans both drained and undrained layers. Averaged properties are NOT a valid substitute for checking each condition separately - run the drained and undrained cases as two analyses and take the lower capacity. | Weak layer (Sandy fill) over stronger layer (Sandy fill) within the failure zone. Averaging is conservative but crude; consider bearing on the deeper stratum.
F-2,6.00,6.00,1.31,2.00,3.058,5.490,0.557,0.977,0.977,Settlement,OK,The bearing failure zone spans both drained and undrained layers. Averaged properties are NOT a valid substitute for checking each condition separately - run the drained and undrained cases as two analyses and take the lower capacity. | Weak layer (Sandy fill) over stronger layer (Sandy fill) within the failure zone. Averaging is conservative but crude; consider bearing on the deeper stratum.
F-3,7.25,7.25,1.64,2.00,2.668,5.642,0.473,0.978,0.978,Settlement,OK,The bearing failure zone spans both drained and undrained layers. Averaged properties are NOT a valid substitute for checking each condition separately - run the drained and undrained cases as two analyses and take the lower capacity. | Weak layer (Sandy fill) over stronger layer (Sandy fill) within the failure zone. Averaging is conservative but crude; consider bearing on the deeper stratum.
F-4,8.50,8.50,1.80,2.00,2.371,5.742,0.413,0.957,0.957,Settlement,OK,The bearing failure zone spans both drained and undrained layers. Averaged properties are NOT a valid substitute for checking each condition separately - run the drained and undrained cases as two analyses and take the lower capacity. | Weak layer (Sandy fill) over stronger layer (Sandy fill) within the failure zone. Averaging is conservative but crude; consider bearing on the deeper stratum.
F-5,9.50,9.50,1.97,2.00,2.216,5.217,0.425,0.968,0.968,Settlement,OK,The bearing failure zone spans both drained and undrained layers. Averaged properties are NOT a valid substitute for checking each condition separately - run the drained and undrained cases as two analyses and take the lower capacity. | Weak layer (Sandy fill) over stronger layer (Sandy fill) within the failure zone. Averaging is conservative but crude; consider bearing on the deeper stratum.
F-6,10.50,10.50,2.30,2.00,2.114,4.693,0.450,0.987,0.987,Settlement,OK,The bearing failure zone spans both drained and undrained layers. Averaged properties are NOT a valid substitute for checking each condition separately - run the drained and undrained cases as two analyses and take the lower capacity. | Weak layer (Sandy fill) over stronger layer (Sandy fill) within the failure zone. Averaging is conservative but crude; consider bearing on the deeper stratum.
F-7,11.25,11.25,2.46,2.00,2.029,4.286,0.473,0.989,0.989,Settlement,OK,The bearing failure zone spans both drained and undrained layers. Averaged properties are NOT a valid substitute for checking each condition separately - run the drained and undrained cases as two analyses and take the lower capacity. | Weak layer (Sandy fill) over stronger layer (Sandy fill) within the failure zone. Averaging is conservative but crude; consider bearing on the deeper stratum.
F-8,12.00,12.00,2.62,2.00,1.957,4.080,0.480,0.989,0.989,Settlement,OK,The bearing failure zone spans both drained and undrained layers. Averaged properties are NOT a valid substitute for checking each condition separately - run the drained and undrained cases as two analyses and take the lower capacity. | Weak layer (Sandy fill) over stronger layer (Sandy fill) within the failure zone. Averaging is conservative but crude; consider bearing on the deeper stratum.
F-9,13.00,13.00,2.79,2.00,1.881,3.754,0.501,0.990,0.990,Settlement,OK,The bearing failure zone spans both drained and undrained layers. Averaged properties are NOT a valid substitute for checking each condition separately - run the drained and undrained cases as two analyses and take the lower capacity. | Weak layer (Sandy fill) over stronger layer (Sandy fill) within the failure zone. Averaging is conservative but crude; consider bearing on the deeper stratum.
F-10,15.50,15.50,3.44,2.00,1.671,3.073,0.544,0.995,0.995,Settlement,OK,The bearing failure zone spans both drained and undrained layers. Averaged properties are NOT a valid substitute for checking each condition separately - run the drained and undrained cases as two analyses and take the lower capacity. | Weak layer (Sandy fill) over stronger layer (Sandy fill) within the failure zone. Averaging is conservative but crude; consider bearing on the deeper stratum.
F-11,,,,,,,,,,NO SOLUTION,FAIL,"No footing between 2.50 ft and 16.00 ft satisfies the criteria for F-11. At the largest size tried (B = 16.00 ft) bearing utilisation is 0.67 and settlement utilisation is 1.25. Settlement governs: 1.251 in against a limit of 1.000 in, and 65% of it is consolidation in 'Stiff clay'. Probing out to 48.00 ft found no working size. The least settlement at ANY width tried is 1.137 in at B = 20.00 ft, still above the 1.000 in limit. Widening cannot solve this: a wider footing pushes its stress bulb deeper into the compressible stratum, cancelling the lower contact pressure. The real options are ground improvement, a mat, or deep foundations - or confirming with the structural engineer whether 1.137 in is tolerable."
F-12,,,,,,,,,,NO SOLUTION,FAIL,"No footing between 2.50 ft and 16.00 ft satisfies the criteria for F-12. At the largest size tried (B = 16.00 ft) bearing utilisation is 0.94 and settlement utilisation is 1.92. Settlement governs: 1.920 in against a limit of 1.000 in, and 66% of it is consolidation in 'Stiff clay'. Probing out to 48.00 ft found no working size. The least settlement at ANY width tried is 1.418 in at B = 24.00 ft, still above the 1.000 in limit. Widening cannot solve this: a wider footing pushes its stress bulb deeper into the compressible stratum, cancelling the lower contact pressure. The real options are ground improvement, a mat, or deep foundations - or confirming with the structural engineer whether 1.418 in is tolerable."
